iter	Passed	Remaining
0	8	6473
1	20	7982
2	41	11027
3	48	9575
4	58	9245
5	66	8799
6	76	8613
7	84	8361
8	93	8237
9	103	8191
10	112	8074
11	122	8013
12	131	7934
13	139	7838
14	150	7863
15	155	7637
16	164	7559
17	175	7615
18	180	7435
19	186	7260
20	196	7286
21	207	7339
22	217	7337
23	222	7195
24	232	7220
25	244	7287
26	254	7297
27	268	7399
28	281	7472
29	291	7493
30	301	7480
31	312	7491
32	321	7483
33	333	7504
34	342	7485
35	351	7463
36	361	7464
37	374	7499
38	387	7560
39	396	7528
40	407	7546
41	416	7511
42	428	7538
43	437	7512
44	448	7526
45	458	7514
46	469	7528
47	481	7540
48	486	7451
49	495	7425
50	503	7387
51	511	7353
52	521	7343
53	530	7330
54	539	7302
55	542	7211
56	549	7164
57	556	7116
58	565	7102
59	573	7078
60	582	7059
61	591	7045
62	600	7026
63	609	7007
64	618	6994
65	623	6929
66	629	6883
67	637	6862
68	647	6858
69	655	6839
70	665	6836
71	676	6838
72	684	6815
73	695	6819
74	709	6854
75	720	6866
76	723	6794
77	731	6769
78	741	6770
79	752	6769
80	761	6759
81	768	6729
82	773	6683
83	777	6627
84	788	6630
85	799	6634
86	808	6628
87	820	6636
88	830	6632
89	838	6611
90	849	6614
91	859	6615
92	873	6637
93	877	6589
94	888	6592
95	898	6591
96	911	6605
97	923	6612
98	933	6608
99	946	6628
100	951	6582
101	960	6574
102	971	6576
103	982	6574
104	992	6569
105	1002	6563
106	1013	6564
107	1024	6562
108	1038	6581
109	1051	6598
110	1066	6618
111	1079	6629
112	1093	6645
113	1107	6666
114	1119	6671
115	1129	6657
116	1138	6648
117	1143	6611
118	1150	6582
119	1163	6592
120	1174	6592
121	1181	6563
122	1184	6517
123	1193	6505
124	1205	6511
125	1216	6506
126	1221	6470
127	1229	6452
128	1240	6450
129	1253	6462
130	1264	6459
131	1276	6461
132	1287	6455
133	1299	6458
134	1310	6457
135	1313	6414
136	1329	6433
137	1343	6446
138	1354	6443
139	1367	6448
140	1379	6447
141	1389	6438
142	1401	6441
143	1413	6438
144	1424	6435
145	1437	6437
146	1448	6433
147	1458	6426
148	1473	6438
149	1486	6440
150	1490	6407
151	1503	6411
152	1515	6409
153	1527	6407
154	1541	6416
155	1558	6432
156	1577	6459
157	1581	6424
158	1586	6395
159	1589	6357
160	1599	6348
161	1610	6340
162	1616	6319
163	1625	6303
164	1634	6291
165	1645	6284
166	1654	6269
167	1663	6256
168	1671	6240
169	1679	6224
170	1688	6210
171	1696	6195
172	1706	6186
173	1711	6157
174	1714	6123
175	1722	6106
176	1730	6090
177	1739	6077
178	1751	6076
179	1762	6069
180	1768	6047
181	1777	6035
182	1790	6036
183	1799	6023
184	1810	6017
185	1819	6006
186	1828	5992
187	1836	5978
188	1845	5965
189	1853	5951
190	1863	5942
191	1873	5931
192	1882	5920
193	1891	5909
194	1901	5899
195	1910	5888
196	1921	5881
197	1931	5871
198	1941	5862
199	1950	5851
200	1959	5839
201	1968	5828
202	1978	5817
203	1988	5808
204	1997	5797
205	2006	5786
206	2040	5844
207	2049	5833
208	2059	5825
209	2069	5813
210	2077	5798
211	2087	5790
212	2096	5778
213	2106	5768
214	2115	5756
215	2124	5743
216	2133	5731
217	2144	5724
218	2155	5717
219	2164	5705
220	2173	5694
221	2182	5681
222	2191	5669
223	2200	5658
224	2208	5643
225	2216	5629
226	2225	5617
227	2234	5606
228	2246	5602
229	2255	5590
230	2264	5578
231	2275	5571
232	2286	5564
233	2297	5556
234	2305	5542
235	2314	5532
236	2323	5520
237	2331	5505
238	2340	5494
239	2347	5477
240	2355	5463
241	2364	5452
242	2373	5440
243	2381	5426
244	2390	5414
245	2399	5403
246	2409	5393
247	2416	5378
248	2425	5367
249	2434	5354
250	2444	5346
251	2454	5336
252	2463	5325
253	2472	5314
254	2480	5300
255	2487	5286
256	2496	5274
257	2504	5261
258	2513	5249
259	2522	5238
260	2530	5224
261	2538	5212
262	2547	5202
263	2557	5193
264	2568	5184
265	2577	5175
266	2587	5165
267	2598	5157
268	2606	5145
269	2616	5135
270	2625	5125
271	2634	5114
272	2644	5105
273	2655	5097
274	2667	5092
275	2677	5083
276	2687	5073
277	2713	5094
278	2725	5089
279	2735	5080
280	2747	5073
281	2757	5064
282	2765	5053
283	2775	5043
284	2783	5030
285	2792	5019
286	2800	5005
287	2809	4994
288	2822	4990
289	2832	4981
290	2842	4971
291	2853	4964
292	2863	4954
293	2872	4943
294	2882	4934
295	2891	4923
296	2901	4913
297	2911	4904
298	2921	4895
299	2931	4886
300	2940	4874
301	2951	4866
302	2960	4856
303	2971	4848
304	2982	4839
305	2993	4832
306	3004	4825
307	3014	4816
308	3030	4814
309	3043	4811
310	3055	4803
311	3064	4792
312	3074	4784
313	3085	4775
314	3096	4768
315	3108	4761
316	3119	4753
317	3128	4741
318	3139	4733
319	3146	4720
320	3157	4711
321	3167	4702
322	3179	4695
323	3191	4688
324	3201	4679
325	3214	4673
326	3233	4676
327	3245	4669
328	3256	4662
329	3267	4653
330	3277	4643
